LawID,SubLawID,CategoryNumber,MainCategory,SecondaryCategory,SubCategories,Datum,Date1,Date,Year,Month,Day,Archive
BER.01.001.3755,BER.01.001.3755.04776.0,1.3,Randgruppen,Fahrende Leute,Landesverweisung; Pässe,1738.10.06,,1738-10-06,1738,10,6,"StAB, A I 495, S. 340 f."
BER.01.001.3764,BER.01.001.3764.04788.0,1.3,Randgruppen,Fahrende Leute,Grenzkontrolle,1739.01.05,,1739-01-05,1739,1,5,"StAB, A I 495, S. 380-391"
BER.01.001.3763,BER.01.001.3763.04785.0,1.3,Randgruppen,Fahrende Leute,Bettelfuhren; Aufsicht; Einreiseverbot; Grenzkontrolle; Pässe,1739.01.27,,1739-01-27,1739,1,27,"StAB, A I 495, S. 377-379"
BER.01.001.3778,BER.01.001.3778.04817.0,1.3,Randgruppen,Fahrende Leute,Streifen,1739.06.29,,1739-06-29,1739,6,29,"StAB, A I 496, S. 14 f."
BER.01.001.3791,BER.01.001.3791.04830.0,1.3,Randgruppen,Fahrende Leute,Streifen,1740.03.17,,1740-03-17,1740,3,17,"StAB, A I 496, S. 101 f."
BER.01.001.3800,BER.01.001.3800.04842.0,1.3,Randgruppen,Fahrende Leute,Streifen,1740.07.07,,1740-07-07,1740,7,7,"StAB, A I 496, S. 136 f."
BER.01.001.3823,BER.01.001.3823.04868.0,1.3,Randgruppen,Fahrende Leute,Streifen,1741.07.14,,1741-07-14,1741,7,14,"StAB, A I 496, S. 270"
BER.01.001.3827,BER.01.001.3827.04872.0,1.3,Randgruppen,Fahrende Leute,Streifen; Festnahme; Aufsicht; Pässe,1741.09.18,,1741-09-18,1741,9,18,"StAB, A I 496, S. 287-290"
BER.01.001.3829,BER.01.001.3829.04874.0,1.3,Randgruppen,Fahrende Leute,"Aufsicht,,,Anordnung für weitere Verkündigung: StAB A I 497, S. 183f. u. 197f., dort jedoch mit Bezug auf das Datum 18.12.1741, gemeint ist wohl jedoch diese Verordnung.,,,)",1741.10.19,,1741-10-19,1741,10,19,"StAB, A I 496, S. 302 f."
BER.01.001.3835,BER.01.001.3835.04880.0,1.3,Randgruppen,Fahrende Leute,Aufsicht,1742.02.21,,1742-02-21,1742,2,21,"StAB, A I 496, S. 344-346"
BER.01.001.3845,BER.01.001.3845.04895.0,1.3,Randgruppen,Fahrende Leute,Aufenthalt; Verbot; Brandmarkung; Durchzug; Einreiseverbot; Festnahme; Gesellen; Gesinde; Grenzkontrolle; Hausierer; Kennzeichnung; Krämer; Landesverweisung; Legitimation; Pässe; Beherbergung Fremder; Beherbergungsverbot; Streifen,1742.04.25,,1742-04-25,1742,4,25,"StAB, A I 496, S. 404-413"
BER.01.001.3845,BER.01.001.3845.04898.0,1.3,Randgruppen,Zigeuner,Kennzeichnung; Grenzkontrolle; Festnahme; Einreiseverbot; Brandmarkung; Aufenthalt; Verbot; Streifen; Kinder,1742.04.25,,1742-04-25,1742,4,25,"StAB, A I 496, S. 404-413"
BER.01.001.4038,BER.01.001.4038.05162.0,1.3,Randgruppen,Fahrende Leute,Streifen,1754.05.24,,1754-05-24,1754,5,24,"StAB, A I 498, S. 523 f."
BER.01.001.4045,BER.01.001.4045.05169.0,1.3,Randgruppen,Fahrende Leute,Bettelverbot; Streifen; Landesverweisung,1754.09.19,,1754-09-19,1754,9,19,"StAB, A I 498, S. 573 f."
BER.01.001.4153,BER.01.001.4153.05305.0,1.3,Randgruppen,Fahrende Leute,"Hausierer; Krämer; Landesverweisung; Beherbergung Fremder; Beherbergungsverbot,,,Anordnung für Aufsicht: StAB A I 507, S. 607, 08.02.1782.,,,",1761.05.27,,1761-05-27,1761,5,27,"StAB, A I 500, S. 247 f.& 253-255"
BER.01.001.4194,BER.01.001.4194.05377.0,1.3,Randgruppen,Fahrende Leute,Sicherungsdienste; Grenzkontrolle,1764.02.14,,1764-02-14,1764,2,14,"StAB, A I 501, S. 275"
BER.01.001.4195,BER.01.001.4195.05380.0,1.3,Randgruppen,Fahrende Leute,Sicherungsdienste; Grenzkontrolle; Landesverweisung,1764.02.21,,1764-02-21,1764,2,21,"StAB, A I 501, S. 279 f."
